; "GeForce GTX 1080", "CC", 6.1, "Multiprocessors", 20, "Memory [MiB]", 8113, "MemoryFree [MiB]", 8000, "MemClock [MHz]", 5005, "GPUClock [MHz]", 1847, "CUDA Runtime", 8000, "cufft", 8000
; "Time_ContextCreate [ms]", 743.662
; "Time_ContextDestroy [ms]", 130.397
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,3,"Success",151.125,0.501045,0.528074,48.5246,36.6735,36.651,29.2055,0.35333,152.51,3.76367e+08,3.76367e+08,3.76367e+08,73
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,4,"Success",151.119,0.502512,0.519623,48.526,36.6692,36.6592,29.195,0.338872,152.483,3.76367e+08,3.76367e+08,3.76367e+08,73
"CuFFT","Inplace","Complex","float",2,"oddshape",3,3,0,0,"Success",0.112096,0.177259,0.222377,0.007424,0.030304,0.02416,0.012096,0.067328,0.581852,72,72,72,29
"CuFFT","Inplace","Complex","float",2,"oddshape",3,3,0,1,"Success",0.109931,0.175861,0.222516,0.007328,0.029696,0.023296,0.012224,0.067328,0.5785,72,72,72,29
"CuFFT","Inplace","Complex","float",2,"oddshape",3,3,0,2,"Success",0.110978,0.175442,0.221608,0.007456,0.029696,0.023456,0.011936,0.073334,0.584157,72,72,72,29
"CuFFT","Inplace","Complex","float",2,"oddshape",3,3,0,3,"Success",0.11049,0.175582,0.230548,0.00736,0.030336,0.02336,0.011648,0.066978,0.586462,72,72,72,29
"CuFFT","Inplace","Complex","float",2,"oddshape",3,3,0,4,"Success",0.11021,0.181519,0.222446,0.007168,0.029696,0.023552,0.011808,0.066559,0.583598,72,72,72,29
"CuFFT","Inplace","Complex","float",2,"oddshape",5,5,0,0,"Success",0.111956,0.179982,0.229919,0.00816,0.03072,0.023552,0.012288,0.067677,0.592328,200,200,200,47
"CuFFT","Inplace","Complex","float",2,"oddshape",5,5,0,1,"Success",0.110629,0.176002,0.222516,0.007168,0.03072,0.023168,0.01168,0.066978,0.579547,200,200,200,47
"CuFFT","Inplace","Complex","float",2,"oddshape",5,5,0,2,"Success",0.112305,0.177887,0.221818,0.007168,0.030528,0.023552,0.011904,0.067048,0.581852,200,200,200,47
"CuFFT","Inplace","Complex","float",2,"oddshape",5,5,0,3,"Success",0.111258,0.17691,0.221957,0.00736,0.031328,0.023552,0.011648,0.089467,0.602525,200,200,200,47
"CuFFT","Inplace","Complex","float",2,"oddshape",5,5,0,4,"Success",0.111328,0.17656,0.22978,0.007872,0.030656,0.024384,0.01184,0.066839,0.587299,200,200,200,47
"CuFFT","Inplace","Complex","float",2,"oddshape",3,9,0,0,"Success",0.134166,0.175791,0.222097,0.007168,0.04064,0.0256,0.012288,0.069703,0.60462,216,216,216,30
"CuFFT","Inplace","Complex","float",2,"oddshape",3,9,0,1,"Success",0.112725,0.176001,0.223144,0.007296,0.03072,0.024384,0.011584,0.067956,0.589674,216,216,216,30
"CuFFT","Inplace","Complex","float",2,"oddshape",3,9,0,2,"Success",0.110978,0.174884,0.221957,0.00784,0.030432,0.024576,0.011712,0.066769,0.577452,216,216,216,30
"CuFFT","Inplace","Complex","float",2,"oddshape",3,9,0,3,"Success",0.111467,0.174115,0.221608,0.007168,0.03072,0.024576,0.011264,0.06628,0.576265,216,216,216,30
"CuFFT","Inplace","Complex","float",2,"oddshape",3,9,0,4,"Success",0.117892,0.17649,0.243678,0.00784,0.029696,0.030432,0.011264,0.071518,0.612443,216,216,216,30
"CuFFT","Inplace","Complex","float",2,"oddshape",7,7,0,0,"Success",0.112515,0.181589,0.223144,0.007264,0.031712,0.023552,0.011552,0.066699,0.58688,392,392,392,59
"CuFFT","Inplace","Complex","float",2,"oddshape",7,7,0,1,"Success",0.112166,0.177748,0.223145,0.007456,0.031296,0.024576,0.012064,0.068864,0.584785,392,392,392,59
