"Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 823, "CUDA Runtime", 8000, "cufft", 8000,"NumberRuns",10,"NumberWarmups",1,"ErrorBound",1e-05,"CurrentTime",1496261489,"CurrentTimeLocal","Wed May 31 22:11:29 2017"
; "Time_ContextCreate [ms]", NA
; "Time_ContextDestroy [ms]", NA
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,8,2,"Success",0.395392,1.02422,1.33611,7.15882,4.1103,4.07693,6.51088,0.382061,25.0618,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,9,2,"Success",0.377964,1.02602,1.31197,7.25856,4.09942,4.06554,6.43357,0.372201,25.0115,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,0,3,"Success",0.395966,1.06206,1.31273,7.16003,4.10589,4.06419,6.4377,0.374544,24.9817,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,1,3,"Success",0.402657,1.02186,1.2932,7.16262,4.09171,4.07357,6.43338,0.379628,24.9272,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,2,3,"Success",0.379029,1.02011,1.32407,7.15891,4.10266,4.06611,6.43629,0.396101,24.9509,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,3,3,"Success",0.402142,1.01596,1.31792,7.14768,4.10259,4.06893,6.43939,0.377991,24.9412,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,4,3,"Success",0.400667,1.0225,1.30802,7.14576,4.09322,4.07123,6.43581,0.374696,24.9196,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,5,3,"Success",0.394415,1.02382,1.32282,7.15373,4.0961,4.0751,6.43888,0.375356,24.9483,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,6,3,"Success",0.391864,1.02227,1.31045,7.14333,4.11165,4.06605,6.43261,0.373446,24.9192,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,7,3,"Success",0.398274,1.02385,1.31799,7.30602,4.09981,4.0728,6.42989,0.370099,25.0859,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,8,3,"Success",0.396842,1.02354,1.32505,7.30701,4.10931,4.0695,6.43779,0.37652,25.1125,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,9,3,"Success",0.391601,1.00507,1.28176,7.11603,4.10902,4.0728,6.4352,0.372549,24.8517,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,0,4,"Success",0.384616,1.00271,1.27916,7.14922,4.1031,4.07187,6.44384,0.375314,24.8757,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,1,4,"Success",0.378279,1.00341,1.28077,7.12358,4.0919,4.07939,6.43357,0.375558,24.8335,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,2,4,"Success",0.396999,1.02619,1.33093,7.1655,4.1057,4.07443,6.43526,0.373439,24.9773,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,3,4,"Success",0.401806,1.01612,1.31469,7.16102,4.09805,4.06934,6.43862,0.378665,24.9449,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,4,4,"Success",0.395291,1.02557,1.32493,7.15773,4.09997,4.07421,6.44243,0.377399,24.9662,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,5,4,"Success",0.392043,1.03027,1.32268,7.16138,4.0937,4.07251,6.44138,0.380009,24.9617,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,6,4,"Success",0.405469,1.053,1.31523,7.16147,4.10662,4.0735,6.54381,0.371135,25.0953,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,7,4,"Success",0.399696,1.02477,1.30508,7.36838,4.09498,4.0672,6.44102,0.372331,25.1414,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,8,4,"Success",0.396419,1.01799,1.30914,7.1631,4.10518,4.06765,6.44643,0.379267,24.9541,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,9,4,"Success",0.39731,1.02475,1.30942,7.18976,4.10586,4.07507,6.43786,0.372554,24.9834,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,0,5,"Success",0.395257,1.1177,1.31582,7.15379,4.10822,4.08237,6.44333,0.37638,25.0608,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,1,5,"Success",0.398634,1.01923,1.32953,7.17107,4.10493,4.07904,6.44198,0.384017,24.9987,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,2,5,"Success",0.399886,1.0456,1.31704,7.1616,4.0969,4.0784,6.43789,0.377162,24.982,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,3,5,"Success",0.400206,1.02654,1.3077,7.1624,4.1032,4.0656,6.44048,0.378256,24.9512,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,4,5,"Success",0.399504,1.02099,1.31792,7.1785,4.10384,4.06566,6.43578,0.372596,24.9627,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,5,5,"Success",0.39901,1.02388,1.32272,7.16646,4.09674,4.0761,6.43942,0.380792,24.9706,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,6,5,"Success",0.395137,1.02088,1.31579,7.16534,4.11123,4.07408,6.61885,0.377647,25.1465,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,7,5,"Success",0.404392,1.02255,1.3085,7.1767,4.11744,4.07107,6.45795,0.373789,24.9997,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,8,5,"Success",0.39302,1.02536,1.31569,7.19283,4.1119,4.08042,6.43808,0.373085,25.0007,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,9,5,"Success",0.39419,1.02509,1.3227,7.16541,4.10493,4.07213,6.43357,0.377867,24.9637,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,0,6,"Success",0.454114,1.11578,1.30888,7.1521,4.09725,4.06547,6.43379,0.374164,25.07,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,1,6,"Success",0.394954,1.02682,1.30419,7.17014,4.10512,4.07936,6.44221,0.378907,24.9691,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,2,6,"Success",0.399444,1.026,1.30934,7.1353,4.10803,4.06896,6.43782,0.380342,24.9332,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,3,6,"Success",0.40057,1.02312,1.31312,7.14602,4.10074,4.0833,6.43706,0.374843,24.9458,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,4,6,"Success",0.398481,1.02283,1.31645,7.15424,4.10704,4.0721,6.61408,0.372661,25.1238,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,5,6,"Success",0.40082,1.06107,1.29466,7.34192,4.10582,4.05818,6.43763,0.379309,25.1458,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,6,6,"Success",0.398475,1.01878,1.30279,7.26992,4.10349,4.07325,6.43878,0.375016,25.0478,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,7,6,"Success",0.402452,1.02123,1.30762,7.15744,4.09741,4.07248,6.44259,0.375186,24.9435,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,8,6,"Success",0.391648,1.02254,1.31161,7.15395,4.11091,4.07373,6.4376,0.378214,24.9468,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,9,6,"Success",0.398598,1.02605,1.31268,7.15379,4.09757,4.08093,6.43718,0.375547,24.9492,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,0,7,"Success",0.404898,1.02194,1.31828,7.18432,4.10262,4.0633,6.44026,0.377127,24.9797,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,1,7,"Success",0.396951,1.02076,1.31493,7.17174,4.10291,4.06368,6.43606,0.380165,24.9554,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,2,7,"Success",0.400482,1.02252,1.31715,7.16973,4.09814,4.07382,6.44122,0.373637,24.9627,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,3,7,"Success",0.397841,1.02175,1.32269,7.16662,4.10259,4.07002,6.58675,0.37324,25.1102,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,4,7,"Success",0.396482,1.02989,1.32057,7.16195,4.10432,4.07344,6.43907,0.377549,24.9698,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,5,7,"Success",0.4061,1.02292,1.31745,7.17152,4.09987,4.08032,6.43965,0.379131,24.9859,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,6,7,"Success",0.398031,1.02549,1.34195,7.15341,4.11322,4.07667,6.43398,0.376684,24.9883,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,7,7,"Success",0.398514,1.20377,1.3197,7.17341,4.10013,4.07955,6.432,0.383307,25.1602,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,8,7,"Success",0.400665,1.02391,1.32274,7.17392,4.09782,4.0649,6.43942,0.37932,24.9698,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,9,7,"Success",0.399214,1.02178,1.31221,7.33555,4.09754,4.07258,6.43741,0.474248,25.218,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,0,8,"Success",0.399028,1.0316,1.29073,7.16486,4.11014,4.07939,6.43142,0.379642,24.9542,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,1,8,"Success",0.403807,1.02542,1.30915,7.16822,4.10064,4.07712,6.43734,0.372206,24.9611,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,2,8,"Success",0.644373,1.02726,1.31361,7.15142,4.10294,4.07174,6.61024,0.377832,25.3671,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,3,8,"Success",0.398658,1.02433,1.3272,7.35248,4.09853,4.0841,6.43571,0.374969,25.1622,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,4,8,"Success",0.40312,1.05108,1.31837,7.14678,4.11526,4.07328,6.43347,0.374523,24.984,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,5,8,"Success",0.404978,1.02612,1.31491,7.15536,4.10381,4.07987,6.4375,0.371794,24.9617,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,6,8,"Success",0.400396,1.0256,1.30785,7.15808,4.10186,4.07872,6.43603,0.376667,24.9525,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,7,8,"Success",0.394722,1.01992,1.31129,7.14838,4.10336,4.08496,6.4368,0.372482,24.9398,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,8,8,"Success",0.3934,1.02682,1.30675,7.15357,4.1048,4.06992,6.4345,0.380422,24.9371,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,9,8,"Success",0.399864,1.02317,1.31781,7.16214,4.1041,4.08461,6.43178,0.397947,24.9889,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,0,9,"Success",0.400036,1.0331,1.33299,7.15974,4.10845,4.07469,6.436,0.382021,24.9946,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,1,9,"Success",0.403134,1.01924,1.31623,7.16352,4.09997,4.07078,6.44125,0.37977,24.9609,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,2,9,"Success",0.398511,1.02027,1.35759,7.15222,4.0967,4.07472,6.52902,0.379452,25.0761,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,3,9,"Success",0.395912,1.01552,1.31249,7.17286,4.10192,4.0775,6.43354,0.384651,24.9607,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,4,9,"Success",0.402527,1.0182,1.31658,7.16582,4.11139,4.06778,6.44016,0.374352,24.9645,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,5,9,"Success",0.393227,1.02384,1.32216,7.18083,4.09392,4.08106,6.44406,0.378934,24.9862,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,6,9,"Success",0.394412,1.02943,1.32954,7.15402,4.11325,4.07283,6.43789,0.379065,24.9777,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,7,9,"Success",0.399854,1.02079,1.30917,7.14461,4.09856,4.07283,6.43939,0.374774,24.9271,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,8,9,"Success",0.397614,1.01927,1.37373,7.16301,4.10829,4.07005,6.52934,0.406373,25.1365,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,9,9,"Success",0.387797,1.02445,1.34278,7.16032,4.09834,4.07811,6.43853,0.37394,24.9702,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,0,10,"Success",0.401046,1.02623,1.30771,7.15766,4.09498,4.0672,6.61942,0.37379,25.1152,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,1,10,"Success",0.393113,1.02686,1.28873,7.34963,4.10458,4.07843,6.48934,0.378649,25.176,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,2,10,"Success",0.401196,1.022,1.35145,7.14749,4.09485,4.0665,6.43907,0.384789,24.9736,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,3,10,"Success",0.397466,1.02245,1.31429,7.14931,4.10147,4.07299,6.44576,0.374252,24.9491,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,4,10,"Success",0.401184,1.02916,1.32297,7.17757,4.0929,4.07046,6.44202,0.379795,24.9836,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,5,10,"Success",0.400889,1.02758,1.32213,7.14781,4.0975,4.07232,6.44378,0.375079,24.9537,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,6,10,"Success",0.397946,1.02594,1.30833,7.14336,4.10682,4.07306,6.4353,0.378447,24.938,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,7,10,"Success",0.395878,1.02687,1.31387,7.14822,4.10602,4.06832,6.4343,0.378494,24.9396,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,8,10,"Success",0.395868,1.0215,1.31063,7.15626,4.10019,4.08198,6.43162,0.376868,24.9438,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,9,10,"Success",0.400509,1.12078,1.31223,7.14598,4.10563,4.07219,6.62035,0.377268,25.2201,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,0,11,"Success",0.398794,1.02539,1.31651,7.17024,4.10086,4.07069,6.43392,0.37433,24.9587,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,1,11,"Success",0.399209,1.01883,1.31216,7.15968,4.09904,4.08128,6.43523,0.380209,24.9552,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,2,11,"Success",0.40222,1.03361,1.31814,7.16138,4.09565,4.06928,6.45533,0.376647,24.9815,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,3,11,"Success",0.398084,1.02659,1.31014,7.1816,4.10614,4.08563,6.43398,0.377719,24.9869,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,4,11,"Success",0.392815,1.02412,1.33127,7.15952,4.10541,4.07498,6.61782,0.379202,25.1528,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,5,11,"Success",0.402689,1.02057,1.32289,7.15933,4.10122,4.07104,6.4375,0.375337,24.9574,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,6,11,"Success",0.395683,1.02667,1.29251,7.15488,4.09734,4.07546,6.43334,0.381589,24.9271,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,7,11,"Success",0.39038,1.02398,1.31294,7.15475,4.09523,4.06714,6.43942,0.374104,24.9246,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,8,11,"Success",0.393341,1.02294,1.35021,7.16234,4.10176,4.06384,6.43267,0.377566,24.9718,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,9,11,"Success",0.389272,1.05556,1.30876,7.14381,4.10282,4.07968,6.43322,0.376839,24.9579,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,0,12,"Success",0.399025,1.0276,1.31766,7.16726,4.10624,4.06768,6.44176,0.38058,24.9768,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,1,12,"Success",0.400099,1.02137,1.3135,7.15568,4.10902,4.07187,6.43696,0.376493,24.9537,67108872,0,0
