"Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 823, "CUDA Runtime", 8000, "cufft", 8000,"NumberRuns",10,"NumberWarmups",1,"ErrorBound",1e-05,"CurrentTime",1496262120,"CurrentTimeLocal","Wed May 31 22:22:00 2017"
; "Time_ContextCreate [ms]", NA
; "Time_ContextDestroy [ms]", NA
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,8,2,"Success",0.221561,0.863509,1.03933,0.01248,0.0352,0.037472,0.019872,0.327751,2.61362,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,9,2,"Success",0.220762,0.863108,1.04024,0.012096,0.035264,0.037408,0.020064,0.328651,2.61404,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,0,3,"Success",0.218142,0.864971,1.03923,0.012192,0.034848,0.037952,0.020256,0.327759,2.61115,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,1,3,"Success",0.22156,0.864731,1.03996,0.012192,0.035008,0.037408,0.020896,0.332631,2.6206,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,2,3,"Success",0.328766,0.864861,1.04123,0.012224,0.035424,0.038112,0.020288,0.329795,2.73102,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,3,3,"Success",0.220778,0.960558,1.04151,0.012128,0.035296,0.038016,0.020736,0.32857,2.71432,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,4,3,"Success",0.220974,0.864556,1.04136,0.012352,0.0352,0.03776,0.02048,0.333401,2.62255,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,5,3,"Success",0.226082,0.860703,1.04029,0.012576,0.039488,0.037984,0.020768,0.329421,2.6239,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,6,3,"Success",0.220457,0.864149,1.24805,0.012224,0.035584,0.038752,0.020576,0.334039,2.83061,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,7,3,"Success",0.222433,0.866107,1.04104,0.012224,0.036,0.038176,0.020608,0.33379,2.62696,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,8,3,"Success",0.225117,0.860281,1.04038,0.013184,0.035392,0.037664,0.020288,0.328716,2.61751,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,9,3,"Success",0.221338,0.864623,1.0401,0.012256,0.034656,0.037536,0.020384,0.328964,2.61633,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,0,4,"Success",0.218926,0.865411,1.04048,0.012448,0.03536,0.037664,0.020128,0.328385,2.61526,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,1,4,"Success",0.221139,0.862995,1.03893,0.012224,0.035072,0.037792,0.02032,0.328342,2.61315,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,2,4,"Success",0.220705,0.863544,1.04848,0.012256,0.03536,0.038432,0.020192,0.334465,2.63084,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,3,4,"Success",0.224943,0.860453,1.0404,0.012032,0.034688,0.037248,0.02016,0.328122,2.61753,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,4,4,"Success",0.220506,0.86721,1.05086,0.012224,0.03568,0.038432,0.020704,0.332538,2.63536,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,5,4,"Success",0.224219,0.87194,1.04557,0.012128,0.03584,0.037664,0.020608,0.336075,2.64111,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,6,4,"Success",0.221936,0.866018,1.0434,0.012192,0.034912,0.038528,0.020608,0.333734,2.62817,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,7,4,"Success",0.223591,0.871975,1.05014,0.012128,0.03552,0.038944,0.020864,0.333097,2.64303,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,8,4,"Success",0.223715,0.872479,1.05211,0.012128,0.035584,0.038624,0.021184,0.332783,2.6461,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,9,4,"Success",0.222966,0.871168,1.05058,0.012608,0.0352,0.0384,0.019456,0.337364,2.64329,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,0,5,"Success",0.226675,0.873104,1.04323,0.012128,0.035296,0.037696,0.023936,0.331008,2.63978,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,1,5,"Success",0.225853,0.864389,1.04004,0.012384,0.035488,0.038368,0.020352,0.330004,2.62323,4104,0,0
