; "Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 875, "CUDA Runtime", 8000, "cufft", 8000
; "Time_ContextCreate [ms]", 65.5871
; "Time_ContextDestroy [ms]", 154.793
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","0","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,4,"Success",0,0.224727,0.862234,1.03696,0.01152,0.033344,0.039072,0.019648,0.330549,2.62981,4104,4096,4096,5
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,0,"Success",0,0.224349,0.862609,1.04398,0.011648,0.03344,0.035968,0.019872,0.329481,2.6333,4104,4096,4096,6
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,1,"Success",0,0.224369,0.863305,1.04164,0.011616,0.033568,0.035424,0.01952,0.334468,2.63511,4104,4096,4096,6
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,2,"Success",0,0.229738,0.892668,1.06394,0.010976,0.034624,0.036128,0.018944,0.328723,2.68532,4104,4096,4096,6
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,3,"Success",0,0.223913,0.870721,1.0499,0.011808,0.0344,0.036768,0.019904,0.333226,2.65359,4104,4096,4096,6
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,4,"Success",0,0.226392,0.869216,1.04922,0.011872,0.034304,0.03664,0.019744,0.337987,2.65847,4104,4096,4096,6
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,0,"Success",0,0.226928,0.862087,1.04555,0.011872,0.033536,0.035712,0.01952,0.33041,2.63782,4104,4096,4096,7
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,1,"Success",0,0.224523,0.861418,1.04258,0.011808,0.033856,0.035328,0.019616,0.333503,2.63443,4104,4096,4096,7
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,2,"Success",0,0.223987,0.861741,1.04001,0.011808,0.033568,0.036064,0.019584,0.334101,2.63261,4104,4096,4096,7
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,3,"Success",0,0.227067,0.860774,1.03948,0.011648,0.034144,0.035264,0.01952,0.329683,2.62928,4104,4096,4096,7
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,4,"Success",0,0.224765,0.861448,1.03906,0.011808,0.03328,0.035392,0.019808,0.329993,2.6278,4104,4096,4096,7
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,0,"Success",0,0.224384,0.861968,1.04366,0.011872,0.034016,0.035712,0.019552,0.330298,2.63322,4104,4096,4096,8
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,1,"Success",0,0.22592,0.864991,1.04191,0.011744,0.034624,0.035328,0.019712,0.329918,2.63594,4104,4096,4096,8
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,2,"Success",0,0.224501,0.942356,1.0414,0.01168,0.033696,0.035808,0.01968,0.33419,2.715,4104,4096,4096,8
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,3,"Success",0,0.225278,0.861129,1.04036,0.011584,0.03328,0.036,0.019648,0.333506,2.63209,4104,4096,4096,8
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,4,"Success",0,0.227677,0.86106,1.03951,0.012352,0.03328,0.036032,0.019552,0.328792,2.63007,4104,4096,4096,8
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,0,"Success",0,0.224945,0.862938,1.04333,0.01184,0.03408,0.035648,0.01936,0.335737,2.63967,4104,4096,4096,9
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,1,"Success",0,0.226819,0.858349,1.04254,0.011776,0.033504,0.038592,0.01952,0.329749,2.63242,4104,4096,4096,9
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,2,"Success",0,0.224202,0.861718,1.03922,0.011616,0.03328,0.035712,0.019776,0.330305,2.62757,4104,4096,4096,9
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,3,"Success",0,0.224209,0.861094,1.03996,0.011616,0.033344,0.03568,0.019296,0.330154,2.62717,4104,4096,4096,9
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,4,"Success",0,0.224992,0.861503,1.24314,0.012224,0.03344,0.036,0.019584,0.343357,2.84673,4104,4096,4096,9
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,0,"Success",0,0.22613,0.862762,1.04385,0.011712,0.033504,0.036,0.019616,0.329714,2.63487,4104,4096,4096,10
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,1,"Success",0,0.225387,0.884793,1.0757,0.011232,0.034464,0.035552,0.018944,0.334476,2.68962,4104,4096,4096,10
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,2,"Success",0,0.234414,0.875292,1.04167,0.010816,0.034656,0.03584,0.019904,0.32982,2.65147,4104,4096,4096,10
